,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
196,0.824,0.511,-9.049,0.151,0.0187,0.834,0.309,0.0858,127.959,6U7DCvIA93YYzyFYwmiIIe,195952
197,0.639,0.873,-6.222,0.0408,0.0237,0.0143,0.119,0.258,121.031,3LnETnq2xyUpKcGqAQLJy1,199091
198,0.736,0.827,-3.902,0.0643,0.0199,0.00828,0.351,0.814,125.008,4u3XiAwJ2U9Kxgy57gcAPB,209760
199,0.705,0.524,-9.776,0.032,0.112,0.26,0.109,0.219,119.987,11SEKnYpFCFRXnUap3Cso2,230016
200,0.438,0.805,-6.237,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253,2aoo2jlRnM3A0NyLQqMN2f,240800
201,0.533,0.905,-5.27,0.0754,0.00876,0.578,0.0698,0.486,108.9,0wJoRiX5K5BxlqZTolB2LD,170813
202,0.479,0.944,-5.167,0.115,0.00206,0.0283,0.356,0.572,153.45,5LI7PoHEolR8plrf3I16sq,163800
203,0.346,0.768,-5.695,0.0377,0.00603,0.38,0.0244,0.532,169.492,0NWPxcsf5vdjdiFUI8NgkP,210160
204,0.568,0.898,-8.833,0.0862,0.0285,0.0787,0.484,0.833,110.824,0hnlRgTh80b1emNnM0jmwt,301520
205,0.307,0.756,-8.119,0.0493,0.0209,0.758,0.353,0.417,114.843,34jAhU99TNRvYwwOEoINl3,404267
